,Sentiment,Text
9774,negative,on top of that a dozen ppl missed connections and you have one person at customer service abysmal
9775,positive,it s not often that an airline is so easy to work with i needed to change my flight time and the attendants at mke made my day
9776,negative,americanair how is it possible that someone is drunk they bring a wheelchair for them but you keep serving them
9777,negative,your service at phl is abysmal an hour on the runway waiting for a gate no information anywhere missed my connection abysmal
9778,negative,americanair worst customer service ever how can you let people be assaulted on your flights and do nothing about it
9779,negative,americanair not providing pilots for your flights is this a new feature of your merger efficencies
9780,neutral,do you know what flight the pilots for 1581 are coming in on thanks
9781,negative,so i guess you are ok with people being sexually assaulted on your flights nice customer service
9782,negative,please help need our plane to wait to go to elmira on tarmac over an hr baggage took 45 and still not here thru customs
9783,negative,americanair usair 703 has returned to phl due to issues with the fire detectors what happens next
9784,negative,ur specialist said they would talk to the stewardess about not serving drunks drinks really how does that help
9785,negative,what is wrong in boston why are only your plains not leaving tonight son needs to get back to state college pa
9786,negative,over two hours on hold to talk to an agent then it disconnects me been trying for two days wtf hire some csrs u make now
9787,negative,so you don t have a pilot now for clt ord for at least another hour why on earth would you board the plane makes no sense
9788,negative,flight 2120 please get us a flight plan already how is this an issue in 21st century
9789,negative,fail when the inbound flight arrives after the scheduled outbound departure and still on time
9790,negative,thanks for three cancelled flightled flight and making us go from raleigh to charlote to lexington to philly istead of raleigh to philly
9791,negative,rant cont to top it all off rescheduled flight to tpa at 10 10 is already delayed how can they be that bad
9792,negative,can you advise on what s happening with departure delays from clt
9793,neutral,can you provide me with info about checking strollers and car seats costs restrictions need to bring 2 seats 1 stroller
9794,negative,americanair delay and mechanical issues on both my weekend flights ridiculous will tweet as long as we are delayed
9795,positive,another great flight funflightattendants thanks for showing my dad wonderful customer service flt635 lax phx sundayfunday
9796,negative,what is happening have been sitting in philly for hours pls take care of flight 759 to chicago at least least us know solate flight
